Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","67.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","71.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","69.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","67.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","71.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","71.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","69.9","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","73.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","71.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","69.9","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","73.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","%","16.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","15.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6132","Value","210011","Number of people undernourished (million) (3-year average)","20212023","2021-2023","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","27.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","21.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","33.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","27.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","21.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","33.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","26.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","20.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","32.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","26.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","20.8","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","32.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","28.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","22.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","34.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","28.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","22.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","34","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","79.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","74.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","84.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","79.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","74.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","84.7","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","79.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","74.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","84.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","79.9","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","74.9","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","84.8","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","80","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","74.9","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","85.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","79.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","74.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","174","Comoros","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","84.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","%","12.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","12.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","262","Djibouti","6132","Value","210011","Number of people undernourished (million) (3-year average)","20212023","2021-2023","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","262","Djibouti","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","16.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","12.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","20.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","16.5","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","12.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","20.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","17.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","14.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","21.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","17.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","14.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","21.1","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","15.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","10.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","20.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","15.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","10.6","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","20.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","49.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","43.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","55.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","49.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","43.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","55.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","49.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","44.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","54.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","49.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","44.4","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","54.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","49.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","42","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","56.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","49.2","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","42","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","262","Djibouti","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","56.3","E","Estimated value","FAO data"
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6132","Value","210011","Number of people undernourished (million) (3-year average)","20212023","2021-2023","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
